#,_id,fragment,button_fragment,device,brand,frequency,main_frame
1,1,PanaTv1,Return,TV,Panasonic,37000,"3456, 1728, 432, 405, 432, 1296, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 1296, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 1296, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 1296, 432, 405, 432, 1296, 432, 405, 432, 1296, 432, 1296, 432, 405, 432, 405, 432, 1296, 432, 405, 432, 1296, 432, 405, 432, 1296, 432, 405, 432, 74439"
102,102,PanaTv2,5,TV,Panasonic,37000,"3456, 1728, 432, 405, 432, 1269, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 1269, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 1269, 432, 1269, 432, 405, 432, 405, 432, 1269, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 405, 432, 1269, 432, 405, 432, 405, 432, 405, 432, 1269, 432, 405, 432, 1269, 432, 405, 432, 1269, 432, 1269, 432, 405, 432, 405, 432, 1269, 432, 1269, 432, 99900"
268,268,PanaTv6,Web,TV,Panasonic,36697,"3456, 1728, 432, 432, 432, 1296, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 1296, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 1296, 432, 1296, 432, 432, 432, 432, 432, 1296, 432, 432, 432, 432, 432, 432, 432, 432, 432, 1296, 432, 1296, 432, 432, 432, 432, 432, 1296, 432, 432, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 1296, 432, 432, 432, 432, 432, 432, 432, 73818"
1193,2634,ToshTV5,Subtitle,TV,Toshiba,38000,"8918, 4446, 546, 1664, 546, 1664, 546, 546, 546, 546, 546, 546, 546, 546, 546, 1664, 546, 546, 546, 546, 546, 546, 546, 1664, 546, 1664, 546, 1664, 546, 1664, 546, 546, 546, 1664, 546, 546, 546, 1664, 546, 546, 546, 546, 546, 1664, 546, 546, 546, 1664, 546, 546, 546, 1664, 546, 546, 546, 1664, 546, 1664, 546, 546, 546, 1664, 546, 546, 546, 1664, 546, 39598, 8918, 2236, 546, 95264"
1788,3229,SonyTv7,---,TV,Sony,39000,"7800, 3900, 450, 525, 450, 525, 450, 1400, 450, 525, 450, 1400, 450, 1400, 450, 525, 450, 525, 450, 3850, 450, 525, 450, 1400, 450, 525, 450, 1400, 450, 1400, 450, 525, 450, 525, 450, 525, 450, 18125, 7800, 3900, 450, 525, 450, 525, 450, 1400, 450, 525, 450, 1400, 450, 1400, 450, 525, 450, 525, 450, 3850, 450, 525, 450, 1400, 450, 525, 450, 1400, 450, 1400, 450, 525, 450, 525, 450, 525, 425, 18125, 7800, 3900, 450, 525, 450, 525, 450, 1400, 450, 525, 450, 1400, 450, 1400, 450, 525, 450, 525, 450, 3850, 450, 525, 450, 1400, 450, 525, 450, 1400, 450, 1400, 450, 525, 450, 525, 450, 525, 450, 96250"
3142,4583,SonyHT3,6,HomeTheater,Sony,40000,"2400, 600, 1200, 600, 600, 600, 1200, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 1200, 600, 600, 600, 600, 600, 600, 600, 600, 600, 1200, 600, 600, 600, 600, 600, 600, 16175"
4067,7085,samTv10,1,TV,Samsung,38000,"8892, 4394, 572, 494, 494, 494, 494, 494, 494, 494, 494, 494, 572, 1638, 572, 572, 494, 572, 572, 572, 572, 494, 494, 494, 494, 494, 494, 494, 494, 572, 572, 572, 572, 572, 572, 572, 572, 41028, 8892, 2158, 572, 94978, 8892, 2158, 572, 94978, 8892, 2158, 572, 98800"
5487,8946,SharpTv5,Red,TV,Sharp,36364,"3402, 1701, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 1296, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 1296, 432, 1296, 432, 1296, 432, 432, 432, 432, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 432, 432, 432, 432, 1296, 432, 432, 432, 432, 432, 432, 432, 1296, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 1296, 432, 432, 432, 1296, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 73305"
7369,15188,LGDVD4,RecordMode,DVDPlayers,LG,38095,"4446, 4446, 546, 1664, 546, 546, 546, 1664, 546, 1664, 546, 546, 546, 1664, 546, 546, 546, 546, 546, 1664, 546, 546, 546, 1664, 546, 1664, 546, 546, 546, 1664, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 546, 1664, 546, 1664, 546, 1664, 546, 546, 546, 1664, 546, 1664, 546, 1664, 546, 1664, 546, 546, 546, 546, 546, 546, 546, 1664, 546, 546, 546, 43628, 4446, 4446, 546, 546, 546, 95082"
8822,21907,TCLDVD1,5,DVDPlayers,TCL,38000,"8840, 4446, 572, 520, 572, 520, 572, 520, 572, 520, 572, 520, 572, 520, 572, 520, 572, 520, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 520, 572, 520, 572, 520, 572, 520, 572, 520, 572, 520, 572, 520, 572, 520, 572, 1638, 572, 1638, 572, 1638, 572, 1638, 572, 39572, 8840, 2210, 572, 98618"
